fips,cbsa_sub,area_name,nmdda_2023
28153,NCNTY28153N28153,"Wayne County, MS",0
24029,NCNTY24029N24029,"Kent County, MD",0
48383,NCNTY48383N48383,"Reagan County, TX",0
49025,NCNTY49025N49025,"Kane County, UT",0
13233,NCNTY13233N13233,"Polk County, GA",0
48399,NCNTY48399N48399,"Runnels County, TX",0
24041,NCNTY24041N24041,"Talbot County, MD",0
13229,NCNTY13229N13229,"Pierce County, GA",0
35011,NCNTY35011N35011,"De Baca County, NM",0
6035,NCNTY06035N06035,"Lassen County, CA",0
32013,NCNTY32013N32013,"Humboldt County, NV",0
54017,NCNTY54017N54017,"Doddridge County, WV",0
1105,NCNTY01105N01105,"Perry County, AL",0
8065,NCNTY08065N08065,"Lake County, CO",0
1043,NCNTY01043N01043,"Cullman County, AL",0
48415,NCNTY48415N48415,"Scurry County, TX",0
32001,NCNTY32001N32001,"Churchill County, NV",0
32007,NCNTY32007N32007,"Elko County, NV",0
48477,NCNTY48477N48477,"Washington County, TX",0
20175,NCNTY20175N20175,"Seward County, KS",0
48267,NCNTY48267N48267,"Kimble County, TX",0
16031,NCNTY16031N16031,"Cassia County, ID",0
37107,NCNTY37107N37107,"Lenoir County, NC",0
21199,NCNTY21199N21199,"Pulaski County, KY",0
40097,NCNTY40097N40097,"Mayes County, OK",0
51131,NCNTY51131N51131,"Northampton County, VA",0
41063,NCNTY41063N41063,"Wallowa County, OR",0
48217,NCNTY48217N48217,"Hill County, TX",0
21205,NCNTY21205N21205,"Rowan County, KY",0
42035,NCNTY42035N42035,"Clinton County, PA",0
48243,NCNTY48243N48243,"Jeff Davis County, TX",0
16081,NCNTY16081N16081,"Teton County, ID",0
51103,NCNTY51103N51103,"Lancaster County, VA",0
39009,NCNTY39009N39009,"Athens County, OH",0
30029,NCNTY30029N30029,"Flathead County, MT",0
28039,NCNTY28039N28039,"George County, MS",0
8121,NCNTY08121N08121,"Washington County, CO",0
5057,NCNTY05057N05057,"Hempstead County, AR",0
40041,NCNTY40041N40041,"Delaware County, OK",0
48003,NCNTY48003N48003,"Andrews County, TX",0
37131,NCNTY37131N37131,"Northampton County, NC",0
30067,NCNTY30067N30067,"Park County, MT",0
48373,NCNTY48373N48373,"Polk County, TX",0
13123,NCNTY13123N13123,"Gilmer County, GA",0
